#genome	scope	assembly_level	total_length	gc	proteins	protein_length	coding_density	completeness	contamination	strain_heterogeneity	16s_copies
G000007605	Monoisolate	Complete Genome	1181356	39.19	1003	363158	90.58818848848273	99.49	0.0	0.0	1
G000007625	Monoisolate	Complete Genome	2873333	28.64	2799	856294	87.79793361924983	98.28	0.14	0.0	6
G000007645	Monoisolate	Complete Genome	2564615	32.05	2354	721937	82.93198004378824	99.81	0.0	0.0	5
G000007705	Monoisolate	Complete Genome	4751080	64.83	4298	1428392	88.58223814374837	99.04	0.45	0.0	8
G000007725	Monoisolate	Complete Genome	618379	25.34	525	171959	81.93664403221972	97.18	0.0	0.0	1
G000007745	Monoisolate	Complete Genome	2314078	42.54	2120	690147	87.87162749051674	100.0	0.0	0.0	6
G000007765	Monoisolate	Complete Genome	2032674	42.6	2058	613036	88.84951546583466	100.0	0.0	0.0	1
G000007785	Monoisolate	Complete Genome	3359974	37.38	3271	1000353	87.71433945619818	99.53	0.31	0.0	4
G000007805	Multiisolate	Complete Genome	6538260	58.34	5862	1948843	87.82510943278487	100.0	0.22	0.0	5
G000007825	Monoisolate	Complete Genome	5427083	35.29	5541	1546426	83.93392914757338	98.18	0.58	18.18	13
G000007845	Monoisolate	Complete Genome	5227293	35.38	5474	1495110	84.24454110377972	99.23	0.15	0.0	11
G000007865	Monoisolate	Complete Genome	4829781	69.3	4544	1497326	91.34532186863132	99.28	0.33	0.0	1
G000007905	Monoisolate	Complete Genome	1799146	35.93	1802	571920	93.65710175827864	99.94	0.35	0.0	1
G000007925	Monoisolate	Complete Genome	1751080	36.44	1908	529797	89.1202572126916	100.0	0.0	0.0	1
G000007945	Monoisolate	Complete Genome	1698955	38.22	1689	506660	87.85624104228776	99.43	0.02	0.0	6
G000007985	Monoisolate	Complete Genome	3814128	60.94	3417	1176369	90.87854419149016	99.35	0.0	0.0	2
G000008025	Monoisolate	Complete Genome	1267782	35.23	1276	363312	84.42074426044857	99.79	0.0	0.0	1
G000008045	Monoisolate	Complete Genome	1111496	28.92	868	286112	75.8456170782441	99.66	0.33	0.0	1
G000008165	Monoisolate	Complete Genome	5228663	35.38	5471	1495624	84.25184411387768	99.23	0.15	0.0	11
G000008185	Monoisolate	Complete Genome	2843201	37.87	2578	885778	91.79931352021894	100.0	0.0	0.0	2
G000008265	Monoisolate	Complete Genome	1545895	35.97	1599	485076	92.44178938414316	99.59	0.0	0.0	1
G000008325	Monoisolate	Complete Genome	3304561	63.58	3046	1020877	91.024465882155	99.2	0.0	0.0	2
G000008345	Monoisolate	Complete Genome	2560265	60.01	2373	780330	89.79957152872848	100.0	0.0	0.0	3
G000008385	Monoisolate	Complete Genome	1080084	34.18	1140	271320	73.97369093514948	99.15	0.0	0.0	1
G000008465	Monoisolate	Complete Genome	2839318	47.04	2658	892961	92.66700665441489	100.0	0.17	0.0	4
G000008505	Monoisolate	Complete Genome	5314794	35.37	5361	1516528	84.04976749804413	99.07	0.31	0.0	14
G000008525	Monoisolate	Complete Genome	1667867	38.87	1579	514109	90.81749324136756	99.36	0.0	0.0	2
G000008545	Monoisolate	Complete Genome	1860725	46.25	1866	602696	95.4307057732873	100.0	1.79	100.0	1
G000008565	Monoisolate	Complete Genome	3284156	66.61	3248	987980	88.62596661059949	98.72	0.0	0.0	3
G000008605	Monoisolate	Complete Genome	1138011	52.78	1009	357124	92.47344709321791	100.0	0.0	0.0	2
G000008625	Monoisolate	Complete Genome	1590791	43.3	1776	514666	95.30485148583315	98.98	1.22	75.0	2
G000008645	Monoisolate	Complete Genome	1751377	49.54	1876	533233	89.68411712612419	100.0	0.31	16.67	2
G000008665	Monoisolate	Complete Genome	2178400	48.58	2518	688447	93.08676092544988	100.0	0.0	0.0	1
G000008685	Monoisolate	Complete Genome	1521208	28.18	1511	441681	85.52361018348576	100.0	0.0	0.0	1
G000008725	Monoisolate	Complete Genome	1042519	41.31	897	318650	90.06972534793131	98.92	0.0	0.0	2
G000008745	Monoisolate	Complete Genome	1230230	40.58	1063	373983	89.57885923770353	99.49	0.0	0.0	1
G000008765	Monoisolate	Complete Genome	4132880	30.93	3896	1211240	86.34356671376861	100.0	0.0	0.0	11
G000008805	Monoisolate	Complete Genome	2272360	51.53	2107	632964	82.05931278494604	99.75	1.9	80.0	4
G000008865	Monoisolate	Complete Genome	5594477	50.48	5399	1663868	87.62073738081325	99.97	0.33	0.0	7
G000008885	Monoisolate	Complete Genome	703004	22.48	646	209912	87.9746061188841	100.0	0.0	0.0	2
G000008925	Monoisolate	Complete Genome	2133977	33.04	2106	630045	86.97633573370285	99.48	0.52	0.0	7
G000009025	Monoisolate	Complete Genome	1395502	47.03	1437	426285	89.98503764236813	99.01	0.0	0.0	1
G000009065	Monoisolate	Complete Genome	4829855	47.64	4298	1371586	83.66959256540828	99.82	0.0	0.0	6
G000009125	Multiisolate	Complete Genome	5810922	66.98	5062	1725241	87.48269207537118	99.94	0.0	0.0	4
G000009145	Multiisolate	Complete Genome	2812094	50.72	2670	848291	88.87565636141609	99.97	0.74	25.0	1
G000009185	Monoisolate	Complete Genome	3179361	47.86	3071	845315	78.31715240892746	99.3	0.0	0.0	2
G000009205	Monoisolate	Complete Genome	4298133	29.06	3829	1209268	82.89187421608405	99.51	0.37	0.0	11
G000009245	Monoisolate	Complete Genome	1895994	32.15	2100	571581	88.79980632850103	99.82	0.41	100.0	3
G000009305	Monoisolate	Complete Genome	1557588	38.17	1547	470618	89.01185679396606	99.12	0.7	100.0	2
G000009345	Monoisolate	Complete Genome	4683620	47.22	4253	1352606	85.08681319150571	99.95	0.0	0.0	7
G000009365	Monoisolate	Complete Genome	3120143	54.73	2820	929045	87.73194049118904	100.0	0.0	0.0	3
G000009545	Monoisolate	Complete Genome	1852352	36.63	1807	559733	89.02541201672253	100.0	0.0	0.0	5
G000009705	Monoisolate	Complete Genome	7211789	41.27	6159	2024679	82.71693750330189	99.19	0.0	0.0	4
G000009725	Monoisolate	Complete Genome	3947019	47.37	3713	1164101	86.89096758845093	99.78	0.0	0.0	2
G000009745	Multiisolate	Complete Genome	5260086	46.68	4639	1553759	87.03524999401151	100.0	0.14	0.0	9
G000009765	Monoisolate	Complete Genome	9119895	70.7	7915	2675970	86.45652170337488	99.89	0.79	0.0	6
G000009825	Monoisolate	Complete Genome	4303871	44.75	4304	1270194	86.94091900059271	98.67	0.33	0.0	7
G000009845	Monoisolate	Complete Genome	853092	27.76	956	230005	79.39542276800158	98.57	0.0	0.0	2
G000009865	Monoisolate	Complete Genome	2697861	32.78	2600	785925	85.82098929485248	99.62	0.0	0.0	5
G000009905	Monoisolate	Complete Genome	3566135	68.67	3297	1051001	86.83224275020436	98.02	0.03	0.0	6
G000009925	Monoisolate	Complete Genome	5310990	43.2	4416	1603639	88.97996418746787	99.26	0.0	0.0	6
G000009945	Monoisolate	Complete Genome	1173791	39.34	994	361027	90.63530049216598	99.49	0.0	0.0	1
G000009965	Monoisolate	Complete Genome	2088737	52.0	2314	650473	91.73242011799475	100.0	0.0	0.0	1
G000009985	Monoisolate	Complete Genome	4967148	65.09	4628	1522305	90.29875896590961	99.0	0.0	0.0	2
G000010065	Monoisolate	Complete Genome	2696255	55.48	2691	815460	89.1009196088649	99.73	0.0	0.0	2
G000010085	Monoisolate	Complete Genome	4292502	54.5	5742	1142020	78.31083130537854	100.0	0.0	0.0	7
G000010125	Monoisolate	Complete Genome	2577899	33.19	2502	730892	83.51917588703049	99.44	0.0	0.0	6
G000010145	Monoisolate	Complete Genome	2098685	51.47	2094	609422	85.54442424661157	99.18	0.82	50.0	5
G000010165	Monoisolate	Complete Genome	6296436	47.27	5917	1875522	87.75797927589512	99.73	0.27	0.0	15
G000010185	Monoisolate	Complete Genome	1986740	32.07	1846	611719	90.72087943062505	99.39	0.0	0.0	4
G000010205	Monoisolate	Complete Genome	2008987	30.51	2188	522417	76.57650348160541	99.51	0.49	0.0	1
G000010285	Monoisolate	Complete Genome	2697540	71.16	2314	807429	88.19846971685314	98.68	0.0	0.0	3
G000010305	Monoisolate	Complete Genome	4636964	64.27	4004	1466180	93.17702272435153	98.9	4.4	0.0	1
G000010325	Monoisolate	Complete Genome	1877931	39.69	1933	610396	95.76102636358844	98.78	0.0	0.0	3
G000010345	Monoisolate	Complete Genome	2562277	43.87	2552	795482	91.46399862309968	99.59	0.61	0.0	3
G000010405	Monoisolate	Complete Genome	1022154	31.59	976	297702	85.80380255812724	93.54	0.0	0.0	1
G000010425	Monoisolate	Complete Genome	2089645	59.18	1683	614966	86.72233800478072	100.0	0.0	0.0	5
G000010505	Monoisolate	Complete Genome	2354886	48.36	1981	685765	85.80517273447632	99.92	0.0	0.0	4
G000010525	Monoisolate	Complete Genome	5369772	67.32	4810	1620542	88.92271403702057	100.0	0.0	0.0	3
G000010565	Monoisolate	Complete Genome	3025375	52.96	3001	887464	86.41566747923811	100.0	0.63	0.0	2
G000010585	Monoisolate	Complete Genome	2219737	36.56	2352	677409	89.89605525339263	96.13	1.1	0.0	4
G000010605	Monoisolate	Complete Genome	8545929	72.23	7113	2547362	87.83722635654941	99.84	0.0	0.0	6
G000010625	Monoisolate	Complete Genome	5842795	42.33	5605	1591543	80.23908078239953	99.89	0.51	25.0	2
G000010645	Monoisolate	Complete Genome	1224919	32.95	1089	310957	74.78012831868884	89.51	1.09	0.0	2
G000010665	Monoisolate	Complete Genome	5315620	62.67	4555	1546858	85.74405243414691	100.0	0.0	0.0	3
G000010785	Monoisolate	Complete Genome	1743135	44.0	1905	573308	96.88888123983513	98.78	0.51	0.0	1
G000010825	Monoisolate	Complete Genome	3340249	53.1	3156	1006859	88.81071441081188	100.0	0.0	0.0	5
G000010985	Monoisolate	Complete Genome	2542933	30.31	2468	805380	93.31496346934819	96.55	1.72	0.0	2
G000011005	Monoisolate	Complete Genome	2957635	54.92	3055	877570	87.40571436299611	100.0	0.65	0.0	2
G000011025	Monoisolate	Complete Genome	2264603	59.62	1722	637843	83.00090567750728	99.33	0.0	0.0	3
G000011065	Monoisolate	Complete Genome	6293399	42.86	4944	1919297	89.87602724696146	99.41	0.4	0.0	5
G000011105	Monoisolate	Complete Genome	1738505	41.88	1881	545686	92.46237428135093	100.0	0.0	0.0	1
G000011125	Monoisolate	Complete Genome	1669696	56.31	1718	504667	89.03968147495112	97.78	0.95	0.0	1
G000011165	Monoisolate	Complete Genome	1226565	40.58	1056	372234	89.42656932164215	99.49	0.0	0.0	1
G000011185	Monoisolate	Complete Genome	1584804	39.92	1635	470744	87.50028394678459	97.97	0.0	0.0	1
G000011205	Monoisolate	Complete Genome	2694756	32.79	3005	789531	86.29627320618268	100.0	0.0	0.0	1
G000011225	Monoisolate	Complete Genome	1358633	25.72	2363	307598	66.56102126181243	98.33	1.92	0.0	1
G000011245	Monoisolate	Complete Genome	3630528	35.68	3554	1045810	84.8583181289333	99.33	0.56	0.0	7
G000011305	Monoisolate	Complete Genome	3219505	62.97	2877	960455	87.8989782590802	99.89	0.0	0.0	5
G000011345	Monoisolate	Complete Genome	2593857	53.92	2520	792041	89.96471278100528	99.76	0.12	0.0	1
G000011365	Monoisolate	Complete Genome	9105828	64.06	8498	2633797	85.21389817598136	99.99	0.3	0.0	1
G000011385	Monoisolate	Complete Genome	4659019	62.0	4517	1409656	89.14013872877531	99.15	0.85	0.0	1
G000011405	Monoisolate	Complete Genome	1895727	32.16	2114	570913	88.70755124551162	99.82	0.41	50.0	3
G000011465	Multiisolate	Complete Genome	1657990	30.8	1921	508373	90.3099536185381	99.46	0.27	0.0	1
G000011485	Multiisolate	Complete Genome	2410873	50.74	2565	684345	83.60784661821671	99.46	0.14	0.0	2
G000011545	Monoisolate	Complete Genome	7247547	68.06	5948	2066734	84.0285961581208	100.0	0.0	0.0	4
G000011565	Monoisolate	Chromosome	2414465	34.72	1907	665114	81.17177097203728	99.96	0.0	0.0	3
G000011645	Monoisolate	Complete Genome	4222597	46.19	4295	1256133	87.63074003983805	98.82	0.0	0.0	7
G000011685	Monoisolate	Complete Genome	2922384	60.82	2837	900712	90.80685495130002	100.0	0.0	0.0	4
G000011705	Monoisolate	Complete Genome	5835527	68.49	5002	1666426	84.14222057408011	99.95	0.0	0.0	4
G000011745	Monoisolate	Complete Genome	791654	29.56	621	206149	76.72745921829485	98.78	0.0	0.0	1
G000011805	Monoisolate	Complete Genome	4273718	38.35	3819	1265696	87.25999235326243	99.8	0.0	0.0	12
G000011905	Monoisolate	Complete Genome	1469720	48.85	1543	453142	90.82505511253845	99.01	0.0	0.0	1
G000011945	Monoisolate	Complete Genome	1197687	49.76	1018	353062	86.8646816739265	100.0	1.28	75.0	1
G000011965	Monoisolate	Complete Genome	4601048	64.07	4393	1413330	90.5017726396247	99.36	0.0	0.0	3
G000011985	Monoisolate	Complete Genome	1993560	34.71	1880	599516	88.59883825919461	98.94	0.0	0.0	4
G000012005	Monoisolate	Complete Genome	4560911	50.97	5218	1315872	84.96348646136704	99.9	0.06	0.0	7
G000012065	Monoisolate	Chromosome	1066225	30.21	1010	326800	90.30739290487467	100.0	0.0	0.0	1
G000012085	Monoisolate	Complete Genome	917330	29.12	832	292193	93.85804454231301	99.19	0.0	0.0	1
G000012145	Monoisolate	Complete Genome	1587240	32.51	1650	457784	84.95633930596507	100.0	0.47	0.0	1
G000012225	Monoisolate	Complete Genome	723970	26.81	690	178613	72.66682321090653	97.14	0.0	0.0	2
G000012245	Monoisolate	Complete Genome	6093698	59.23	5207	1820299	88.02088649618015	100.0	0.11	0.0	5
G000012285	Monoisolate	Complete Genome	2225959	36.71	2355	665516	88.07412894846671	99.4	0.0	0.0	1
G000012305	Monoisolate	Complete Genome	2650701	42.8	2199	733130	81.49614007766247	99.73	0.0	0.0	4
G000012325	Monoisolate	Complete Genome	5373180	38.01	4512	1535393	84.1984634797271	100.0	1.68	0.0	9
G000012345	Monoisolate	Complete Genome	1308759	29.68	1352	428167	96.3819159982854	100.0	0.47	0.0	1
G000012385	Monoisolate	Complete Genome	1522076	31.65	1516	445509	86.22558926098303	100.0	0.0	0.0	1
G000012405	Monoisolate	Complete Genome	3642249	67.5	3146	1044861	84.52403995443476	100.0	0.0	0.0	4
G000012425	Monoisolate	Complete Genome	4501104	59.25	4244	1399514	91.6106581851919	99.61	0.3	0.0	4
G000012465	Monoisolate	Complete Genome	1842899	35.12	2117	546422	87.32415612575622	99.45	0.0	0.0	1
G000012485	Monoisolate	Complete Genome	2364842	57.33	2198	726500	90.51560315657451	98.91	0.0	0.0	2
G000012505	Monoisolate	Complete Genome	2234828	54.16	2461	688626	90.76604553012581	99.46	0.0	0.0	2
G000012525	Monoisolate	Complete Genome	2742269	55.43	2725	829188	89.08086697548636	100.0	0.0	0.0	2
G000012545	Monoisolate	Complete Genome	1767403	27.63	1552	506257	84.3934858094051	97.6	0.0	0.0	4
G000012565	Monoisolate	Complete Genome	1315030	28.96	978	324802	72.77628647255196	99.57	0.21	100.0	1
G000012585	Monoisolate	Complete Genome	2572079	44.28	2100	778357	89.17762634817981	98.9	0.37	0.0	1
G000012605	Monoisolate	Complete Genome	2427734	43.13	2267	746648	90.61734110903419	99.39	0.0	0.0	3
G000012645	Monoisolate	Complete Genome	1709204	31.21	1922	523880	90.27921769431853	99.73	0.0	0.0	1
G000012665	Monoisolate	Complete Genome	3730232	57.84	3348	1116423	88.18341593766822	100.0	0.0	0.0	4
G000012685	Monoisolate	Complete Genome	9139763	68.89	7333	2805330	90.45319884115158	99.35	1.3	0.0	4
G000012725	Monoisolate	Complete Genome	3402093	62.05	3262	978232	84.70729636138694	99.8	0.0	0.0	1
G000012745	Monoisolate	Complete Genome	2909809	66.07	2819	905403	91.67374903301213	100.0	1.2	0.0	2
G000012805	Monoisolate	Complete Genome	3522111	50.34	3319	1042073	87.16565150842776	97.35	0.0	0.0	2
G000012825	Monoisolate	Complete Genome	5163189	42.2	4218	1564891	89.31584724092029	99.25	0.94	66.67	7
G000012845	Monoisolate	Complete Genome	4811379	45.06	4002	1479480	90.61225482340926	99.42	0.38	0.0	7
G000012865	Monoisolate	Complete Genome	2401520	42.05	2478	738361	90.57088843732302	100.0	0.0	0.0	4
G000012885	Monoisolate	Complete Genome	3665893	55.11	3242	1079955	86.80245168094103	99.35	0.65	0.0	2
G000012905	Monoisolate	Chromosome	4602977	68.79	4351	1371912	87.81101882542536	99.39	0.0	0.0	3
G000012925	Monoisolate	Complete Genome	4011182	59.49	3595	1234520	90.68631141643534	99.42	0.0	0.0	2
G000012965	Monoisolate	Complete Genome	2201561	34.46	2166	698795	93.51537386427175	99.59	1.22	0.0	4
G000012985	Monoisolate	Complete Genome	7215267	53.87	6388	2150654	87.82556487514599	99.86	1.06	0.0	5
G000013005	Monoisolate	Complete Genome	3052398	63.07	2964	952022	91.89280034910257	99.59	0.0	0.0	1
G000013025	Monoisolate	Complete Genome	3705021	61.93	3503	1144920	91.04612362521021	99.68	0.0	0.0	1
G000013045	Monoisolate	Complete Genome	3587328	66.13	3036	1039081	85.34867734425177	96.51	1.16	0.0	1
G000013085	Monoisolate	Complete Genome	4406557	65.38	3895	1323764	88.5150923952646	99.5	0.0	0.0	4
G000013105	Monoisolate	Complete Genome	2628784	55.79	2640	787634	88.2609982410118	99.23	0.0	0.0	1
G000013125	Monoisolate	Complete Genome	1471282	41.64	1256	360447	72.17114054273756	99.57	3.5	90.91	1
G000013145	Monoisolate	Complete Genome	1176248	30.1	936	312197	78.20595656698247	100.0	0.43	100.0	1
G000013165	Monoisolate	Complete Genome	859006	41.08	789	250438	85.89928359056863	99.28	0.0	0.0	1
G000013185	Monoisolate	Complete Genome	686194	33.24	607	202035	86.75112286029898	100.0	0.0	0.0	2
G000013205	Monoisolate	Complete Genome	2932766	60.24	2750	857869	86.17888368864068	100.0	1.32	100.0	2
G000013225	Monoisolate	Complete Genome	3046682	58.45	2844	891129	86.17102145875415	100.0	0.0	0.0	2
G000013285	Monoisolate	Complete Genome	3256683	28.38	2879	926372	83.81039849441902	99.19	0.0	0.0	8
G000013325	Monoisolate	Complete Genome	4233314	65.11	4001	1318971	91.79949798195929	99.82	0.0	0.0	3
G000013345	Monoisolate	Complete Genome	5433628	70.08	4786	1572444	85.26816705155376	99.59	1.31	0.0	2
G000013365	Monoisolate	Complete Genome	5331656	66.04	4738	1576554	87.12580106443475	99.89	0.0	0.0	1
G000013405	Monoisolate	Complete Genome	3179300	51.46	2931	933557	86.51376089076211	96.43	3.87	0.0	1
G000013445	Monoisolate	Complete Genome	3544738	45.15	3415	1067132	88.69400220834375	99.02	0.33	0.0	4
G000013565	Monoisolate	Complete Genome	4404049	62.24	4358	1353522	90.54545033445359	99.39	0.45	0.0	1
G000013605	Monoisolate	Complete Genome	4969784	59.6	4580	1519571	90.09222533615143	99.8	1.88	12.5	2
G000013625	Monoisolate	Complete Genome	4110251	54.23	3847	1254048	89.89443710371945	99.82	0.5	0.0	2
G000013645	Monoisolate	Complete Genome	9731138	62.63	8704	2839846	85.98431139297377	100.0	0.3	0.0	6
G000013665	Monoisolate	Complete Genome	5057531	45.83	4143	1499762	87.38414060141203	100.0	1.29	0.0	2
G000013705	Monoisolate	Complete Genome	2971517	55.72	2844	914059	90.63017307321479	99.36	4.72	100.0	2
G000013725	Monoisolate	Complete Genome	2575032	40.76	2616	745526	85.2816586356985	99.35	0.0	0.0	3
G000013745	Monoisolate	Complete Genome	5513844	64.96	4981	1602737	85.64034455817031	99.31	1.01	33.33	2
G000013765	Monoisolate	Complete Genome	4545906	45.15	3904	1314873	85.22749920477898	96.01	1.17	0.0	8
G000013865	Monoisolate	Complete Genome	5898676	61.97	5657	1765743	88.19329964893818	99.61	0.0	0.0	1
G000013885	Monoisolate	Complete Genome	5011522	61.62	4887	1416603	83.26817681335132	99.89	0.49	0.0	1
G000013945	Monoisolate	Complete Genome	3931782	40.23	3612	1093888	81.96085133916377	97.22	7.41	100.0	2
G000013985	Monoisolate	Complete Genome	3373713	65.46	3240	1035160	90.39989471540703	99.98	0.0	0.0	1
G000014005	Monoisolate	Complete Genome	5650368	58.38	4998	1731070	90.27500509701315	99.95	0.0	0.0	1
G000014025	Monoisolate	Complete Genome	2341251	27.05	2285	743054	93.50731724193604	100.0	0.0	0.0	5
G000014045	Monoisolate	Complete Genome	4331234	58.88	4103	1331879	90.60196239685965	99.25	0.0	0.0	1
G000014125	Monoisolate	Complete Genome	2547720	28.86	2320	752359	87.01109227073619	100.0	0.0	0.0	10
G000014145	Monoisolate	Complete Genome	4433218	38.85	3780	1356037	90.13443507628092	100.0	0.0	0.0	3
G000014185	Monoisolate	Complete Genome	3225748	70.48	3240	1014000	92.60670703353145	98.25	2.05	0.0	1
G000014205	Monoisolate	Complete Genome	2388435	43.4	2274	721195	88.96168411533075	100.0	0.0	0.0	4
G000014225	Monoisolate	Complete Genome	5187005	44.62	4414	1532574	87.06440421784826	100.0	0.51	0.0	5
G000014245	Monoisolate	Complete Genome	4935185	61.1	4704	1502124	89.67463225795993	99.18	2.96	0.0	2
G000014265	Monoisolate	Complete Genome	7750108	34.14	5431	1645663	62.55748952143635	99.71	0.44	0.0	2
G000014285	Monoisolate	Complete Genome	2708355	59.07	2445	838191	91.19291968741173	99.5	0.0	0.0	3
G000014345	Monoisolate	Complete Genome	1159772	31.05	1066	295412	75.03259261303083	99.53	0.0	0.0	1
G000014385	Monoisolate	Complete Genome	1780517	37.89	1837	533373	88.23942708775036	98.66	0.0	0.0	2
G000014425	Monoisolate	Complete Genome	1894360	35.26	1808	575876	89.56275470343546	98.45	0.0	0.0	6
G000014445	Monoisolate	Complete Genome	2075763	37.67	2032	625375	88.75579726587284	100.0	0.53	0.0	4
G000014465	Monoisolate	Complete Genome	2340228	46.06	2283	680405	85.64947517934151	99.06	0.0	0.0	5
G000014505	Monoisolate	Complete Genome	1832387	37.36	1752	550456	88.50193763653638	99.38	0.0	0.0	5
G000014525	Monoisolate	Complete Genome	2924325	46.58	2850	843339	84.9583750096176	99.46	0.0	0.0	5
G000014565	Monoisolate	Complete Genome	9702737	66.98	9061	2896403	87.9521314449727	99.94	1.62	12.5	4
G000014585	Monoisolate	Complete Genome	2606748	52.45	2879	775937	87.67475797430362	99.73	0.0	0.0	2
G000014605	Monoisolate	Complete Genome	1895727	32.16	2114	570921	88.70881725058514	99.82	0.41	50.0	3
G000014705	Monoisolate	Complete Genome	4845257	41.58	4124	1391528	84.62436564252422	99.84	0.37	0.0	9
G000014725	Monoisolate	Complete Genome	2936195	44.87	2657	842568	84.5441123631094	97.35	0.21	0.0	3
G000014745	Monoisolate	Complete Genome	3368780	62.73	3131	1033138	90.358260260391	99.51	0.0	0.0	2
G000014765	Monoisolate	Complete Genome	2781824	48.54	2718	829009	87.79318892927806	99.5	0.12	0.0	1
G000014785	Monoisolate	Complete Genome	3275944	67.53	2901	1005991	90.48542954336216	100.0	0.59	0.0	2
G000014805	Monoisolate	Complete Genome	4744448	61.55	4188	1405590	87.29118751011708	99.97	0.0	0.0	10
G000014825	Monoisolate	Complete Genome	5505494	64.44	4946	1602646	85.76679949156242	99.66	0.35	0.0	2
G000014865	Monoisolate	Complete Genome	4719581	54.17	3924	1398469	87.31467899374967	98.32	0.84	0.0	3
G000014885	Monoisolate	Complete Genome	5396476	43.29	4593	1542196	84.20478475212342	99.84	0.0	0.0	8
G000014905	Monoisolate	Complete Genome	9965640	61.9	8205	3093461	91.47708526497044	100.0	0.88	0.0	2
G000014925	Monoisolate	Complete Genome	5226648	62.43	4819	1597688	90.06529615156789	99.71	0.0	0.0	6
G000014945	Monoisolate	Complete Genome	1879471	53.55	1810	542010	84.95470267963698	100.0	0.0	0.0	2
G000014965	Monoisolate	Complete Genome	4990251	59.95	4154	1402649	82.82012267519208	99.84	7.58	60.0	2
G000015005	Monoisolate	Complete Genome	6988209	67.4	6690	2193424	92.48017625116822	99.84	1.13	80.0	2
G000015025	Monoisolate	Complete Genome	2443540	66.91	2200	748100	90.21350172291021	98.75	0.27	0.0	1
G000015045	Monoisolate	Complete Genome	4241119	58.48	3814	1265254	87.89908983926176	97.17	0.86	0.0	4
G000015105	Monoisolate	Complete Genome	1160782	34.03	1133	322125	81.7463571971309	94.16	0.0	0.0	1
G000015125	Monoisolate	Complete Genome	3133902	48.35	2891	915176	86.03970385800194	99.45	0.0	0.0	2
G000015145	Monoisolate	Complete Genome	1667163	53.74	1828	484935	85.6706872693312	98.73	1.42	0.0	1
G000015205	Monoisolate	Complete Genome	1826402	49.6	2176	556300	89.70489519831888	100.0	0.0	0.0	1
